,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
0,10,9,548870371,1,2,1,0.666666667,,0.461538462,0,2,GTE2000,6to10,0,FALSE,0,g. $500K - $5M,N,0,0,0,0,1,1,1,0,
1,8,11,622652529,1,3,0.370901639,,1,0,0,7,GTE2000,GT10,0,FALSE,1,c. AON Consulting,N,1,1,0,0,1,0,0,1,8
2,9,8,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
3,10,10,1311814852,1,4,0,,0,,,,,,,,,,,,,,,,,,,10
4,10,10,730425,1,3,1,,,0,0.8,10,LT100,6to10,0,FALSE,0,f. $50K - $500K,N,0,0,0,0,1,1,0,0,10
5,9,9,465626533,1,3,1,,,0,0.018181818,10,GTE2000,6to10,0,TRUE,1,h. $5M - $50M,N,1,1,0,0,1,1,0,0,
6,7,7,462429,0.6,3,0.6,,,,,,,,,,,,,,,,,,,,,10
7,3,6,454902,0,4,0,,,0.5,0,10,100to499,GT10,0,FALSE,0,h. $5M - $50M,N,0,1,0,0,0,0,0,0,
8,9,8,1219065285,1,3,1,,,0,0,10,LT100,1,0,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,0,0,10
9,10,9,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
10,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
11,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
12,8,6,1244572681,0.75,2,0.75,,,,,,,,,,,,,,,,,,,,,8
13,8,7,616898,0.666666667,2,0.666666667,,,3.545454545,0.390243902,8,LT100,6to10,0,FALSE,0,h. $5M - $50M,Y,1,1,1,1,1,1,1,0,4.5
14,10,9,998822242,1,3,1,,1,,,,,,,,,,,,,,,,,,,
15,7,8,957502095,0.75,4,0.790322581,0.715909091,1,0.166666667,0,10,GTE2000,3to5,1,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,1,
16,10,10,996443700,1,1,1,,0.788461538,,,,,,,,,,,,,,,,,,,
17,10,10,579162,1,3,1,,,,,,,,,,,,,,,,,,,,,
18,8,7,1340927480,1,1,1,,,,,,,,,,,,,,,,,,,,,
19,5,5,615635,0,2,0.5,,,,,,,,,,,,,,,,,,,,,
20,10,9,191505347,1,2,1,,,,,,,,,,,,,,,,,,,,,
21,10,10,1225983130,1,3,1,,,,,,,,,,,,,,,,,,,,,
22,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
23,7,8,783292,1,2,1,,1,,,,,,,,,,,,,,,,,,,
24,10,10,5.55555E+15,1,3,1,,,0,0.3,10,LT100,2,0,FALSE,0,e. <$50K,N,1,1,0,0,1,1,1,0,
25,8,5,747723296,1,3,1,,,0,0,7,LT100,3to5,0,FALSE,0,z. Unknown,N,0,0,0,0,0,0,1,0,
26,10,10,1493438371,1,2,0.714285714,,,,,,,,,,,,,,,,,,,,,4
27,9,10,1165705184,1,3,0,,,,,,,,,,,,,,,,,,,,,
28,10,10,700214645,1,2,1,,,,,,,,,,,,,,,,,,,,,
29,7,8,611987075,0.2,3,0.2,,,,,,,,,,,,,,,,,,,,,
30,5,10,472268592,0.666666667,3,0.666666667,,,0.2,0,9,100to499,GT10,0,FALSE,0,z. Unknown,N,0,0,0,0,0,0,1,0,
31,9,9,5.55555E+15,,3,,,,,,,,,,,,,,,,,,,,,,
32,7,6,5.55555E+15,0.5,3,0.5,,,,,,,,,,,,,,,,,,,,,
33,10,10,5.55555E+15,1,4,1,1,,,,,,,,,,,,,,,,,,,,
34,9,9,815575,1,3,1,,,,,,,,,,,,,,,,,,,,,
35,5,4,866747,0,3,0,,0.853658537,,,,,,,,,,,,,,,,,,,
36,10,6,139757212,0,3,0,,,,,,,,,,,,,,,,,,,,,
37,8,6,759234,0.8,2,0.8,,,0,0,10,LT100,GT10,0,FALSE,0,h. $5M - $50M,N,1,0,0,0,1,1,0,0,
38,10,10,811747,0,3,0,,,0,0,10,LT100,GT10,0,FALSE,0,f. $50K - $500K,N,1,0,0,0,1,1,0,0,
39,8,8,521095682,1,2,1,,,,,,,,,,,,,,,,,,,,,
40,1,1,1577478871,,3,,,,,,,,,,,,,,,,,,,,,,
41,4,5,1096843348,0.333333333,3,0.333333333,,,0,0.083333333,10,LT100,2,0,FALSE,0,e. <$50K,N,1,1,0,0,1,1,0,0,
42,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
43,10,10,933679064,1,3,1,,,,,,,,,,,,,,,,,,,,,
44,9,10,1466053432,1,3,0.5,,,,,,,,,,,,,,,,,,,,,
45,10,10,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
46,9,10,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
47,10,9,548870371,1,2,1,0.666666667,,0.461538462,0,2,GTE2000,6to10,0,FALSE,0,g. $500K - $5M,N,0,0,0,0,1,1,1,0,
48,10,10,5.55555E+15,1,4,1,,,0,0,10,LT100,GT10,0,FALSE,0,h. $5M - $50M,N,1,0,0,0,1,1,0,0,
49,10,9,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,7
50,10,9,464764079,1,2,1,1,,,,,,,,,,,,,,,,,,,,
51,6,11,576318928,0,3,0.35,,0.5,0.214285714,0.088607595,10,500to1999,6to10,0,FALSE,1,h. $5M - $50M,N,1,0,0,0,1,1,1,1,8.666666667
52,3,9,1586712281,0.2,2,0.818181818,0.75,,,,,,,,,,,,,,,,,,,,
53,9,10,970108276,1,3,1,0.526315789,1,0,0.055555556,10,500to1999,6to10,1,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,1,
54,9,9,1512772297,1,3,1,,,,,,,,,,,,,,,,,,,,,
55,8,10,5.55555E+15,0.5,4,0.5,,,,,,,,,,,,,,,,,,,,,
56,8,8,480276009,0.8,2,0.8,,,,,,,,,,,,,,,,,,,,,
57,9,9,505243,1,4,1,0.5,1,,,,,,,,,,,,,,,,,,,7.5
58,10,9,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
59,8,11,1260202836,1,4,0,1,,,,,,,,,,,,,,,,,,,,
60,9,8,1512772297,1,3,1,,,,,,,,,,,,,,,,,,,,,
61,7,9,1185742957,0,4,0,,,0.620689655,0.224489796,9,100to499,6to10,0,TRUE,1,h. $5M - $50M,Y,1,1,1,0,1,1,1,1,10
62,8,8,5.55555E+15,,4,,,,,,,,,,,,,,,,,,,,,,10
63,8,5,1449397011,1,2,1,1,,,,,,,,,,,,,,,,,,,,
64,8,6,1422761012,1,4,0.625,1,,0,0.007272727,10,GTE2000,1,1,TRUE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,1,
65,9,7,1260202836,1,4,0,1,,,,,,,,,,,,,,,,,,,,
66,10,10,846755366,1,4,1,0,1,0.6,0.2,9,100to499,3to5,1,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,0,
67,8,8,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
68,10,10,1387701196,1,3,1,,,,,,,,,,,,,,,,,,,,,
69,10,10,654865971,0.2,3,0.2,,,0,0,10,LT100,GT10,0,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,0,0,
70,9,9,422055494,1,2,1,,,,,,,,,,,,,,,,,,,,,9
71,9,9,5.55555E+15,,2,,,,,,,,,,,,,,,,,,,,,,
72,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
73,10,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
74,9,9,5.55555E+15,0.75,2,0.75,,,,,,,,,,,,,,,,,,,,,
75,8,10,311749583,1,4,0.333333333,,1,,,,,,,,,,,,,,,,,,,
76,10,10,5.55555E+15,1,3,1,1,,,,,,,,,,,,,,,,,,,,
77,10,8,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
78,10,10,721459,1,2,1,,,0,0.333333333,10,LT100,1,0,FALSE,0,f. $50K - $500K,N,1,1,0,0,1,1,0,0,8
79,9,8,1601154117,0,3,0,,,,,,,,,,,,,,,,,,,,,
80,6,11,701559276,0,3,0.62474645,,0.756756757,0,0,7,GTE2000,3to5,1,TRUE,1,h. $5M - $50M,N,1,1,0,0,1,1,0,1,
81,8,10,224608093,0,3,0,,,0,0.333333333,10,LT100,6to10,0,FALSE,0,h. $5M - $50M,Y,1,0,1,0,1,1,0,0,
82,10,8,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
83,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
84,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
85,8,9,5.55555E+15,0.6,2,0.6,,,,,,,,,,,,,,,,,,,,,
86,10,11,1212551581,1,2,0.5,,,,,,,,,,,,,,,,,,,,,
87,5,7,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
88,1,1,1483864679,0,2,0,,,,,,,,,,,,,,,,,,,,,
89,9,9,1469680435,1,3,1,0.8,1,0,0.111111111,2,GTE2000,3to5,0,FALSE,0,g. $500K - $5M,N,1,1,0,0,1,1,1,0,
90,8,8,5.55555E+15,0.4,3,0.4,,,,,,,,,,,,,,,,,,,,,
91,10,10,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
92,10,10,858394475,1,3,1,,,,,,,,,,,,,,,,,,,,,
93,9,6,1176151449,1,4,1,,1,,,,,,,,,,,,,,,,,,,
94,10,10,1108075797,0.5,1,0.5,,,3,0.1,10,100to499,1,0,FALSE,0,f. $50K - $500K,Y,1,1,0,0,0,0,0,0,10
95,9,10,186814202,1,3,0.714285714,,1,,,,,,,,,,,,,,,,,,,
96,4,7,1363257977,0,3,0,,,,,,,,,,,,,,,,,,,,,
97,8,7,226515816,1,3,1,,,1,0.571428571,10,LT100,6to10,0,FALSE,0,f. $50K - $500K,N,0,1,0,0,1,1,1,0,6
98,6,11,696685188,0,3,0,,,0,0.333333333,8,100to499,3to5,1,FALSE,0,g. $500K - $5M,N,0,0,1,0,1,1,0,0,10
99,4,3,5.55555E+15,,1,,,,,,,,,,,,,,,,,,,,,,
100,7,5,1354433592,0.8,1,0.8,,,,,,,,,,,,,,,,,,,,,10
101,7,6,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
102,7,11,1222643287,0,3,0,1,,1.6,0.030150754,10,500to1999,1,1,TRUE,1,h. $5M - $50M,N,1,1,0,0,1,1,1,1,
103,7,9,1092408142,0,3,0.735294118,0.647058824,0.909090909,0.2,0,10,GTE2000,3to5,1,FALSE,1,h. $5M - $50M,N,1,0,0,0,1,1,1,1,
104,10,9,811180,1,3,0.5,,1,0,0,7,500to1999,GT10,0,FALSE,0,z. Unknown,N,1,0,0,0,1,1,0,0,
105,8,9,432567,0.6,3,0.6,,,0.230769231,0.015384615,10,500to1999,GT10,1,FALSE,1,h. $5M - $50M,N,1,1,0,0,1,0,0,1,9.5
106,10,10,5.55555E+15,0.2,1,0.2,,,,,,,,,,,,,,,,,,,,,
107,9,9,333650166,1,3,1,1,,,,,,,,,,,,,,,,,,,,
108,7,7,1207492346,0.2,2,0.2,,,0,0.833333333,9,100to499,1,0,FALSE,0,g. $500K - $5M,Y,1,1,0,0,1,1,1,0,
109,10,10,1335641486,1,1,1,1,,,,,,,,,,,,,,,,,,,,
110,7,7,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
111,8,9,686217,1,1,0.6,,,,,,,,,,,,,,,,,,,,,
112,9,10,1470752693,1,3,1,,,,,,,,,,,,,,,,,,,,,
113,7,6,1534245617,0,3,0.58974359,0.666666667,1,,,,,,,,,,,,,,,,,,,
114,9,9,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
115,10,10,1032784230,1,3,1,,,,,,,,,,,,,,,,,,,,,
116,8,10,5.55555E+15,1,4,1,1,,,,,,,,,,,,,,,,,,,,
117,6,8,800219880,0.2,3,0.8,,,,,,,,,,,,,,,,,,,,,
118,7,3,797734595,1,2,1,1,,0,0,9,100to499,3to5,0,FALSE,0,g. $500K - $5M,N,1,0,0,0,1,1,1,0,
119,9,11,1583819362,1,2,1,,1,,,,,,,,,,,,,,,,,,,
120,9,10,679788,1,2,1,,,1.548387097,0.345454545,10,100to499,GT10,1,FALSE,1,g. $500K - $5M,Y,1,1,1,1,1,1,1,0,
121,9,9,25878835,1,4,1,,,0,0.153846154,9,100to499,GT10,0,FALSE,0,z. Unknown,N,0,0,0,0,0,0,1,0,
122,8,9,896195787,1,2,1,,,0,1,10,LT100,3to5,0,FALSE,0,g. $500K - $5M,Y,1,1,0,0,1,1,0,0,
123,8,8,5.55555E+15,,2,,,,,,,,,,,,,,,,,,,,,,
124,8,10,5.55555E+15,1,4,1,,,,,,,,,,,,,,,,,,,,,
125,8,8,277731250,1,4,1,,1,0,0,10,GTE2000,GT10,0,TRUE,0,g. $500K - $5M,N,1,0,0,0,0,0,0,0,
126,10,9,235236098,1,4,1,,,0.705882353,0.205882353,9,100to499,6to10,1,FALSE,1,h. $5M - $50M,N,1,1,0,1,1,1,0,0,
127,10,10,688446,,3,,,,,,,,,,,,,,,,,,,,,,
128,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
129,6,6,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,10
130,6,8,5.55555E+15,0.2,1,0.2,,0,,,,,,,,,,,,,,,,,,,
131,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
132,10,10,5.55555E+15,0,2,0,,,,,,,,,,,,,,,,,,,,,
133,10,10,1451315649,1,2,1,,,,,,,,,,,,,,,,,,,,,
134,8,9,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
135,7,8,768495,0.6,2,0.5,1,0,,,,,,,,,,,,,,,,,,,
136,10,9,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
